Plasmid1	organism_ID1	plasmid_clust1	Plasmid2	plasmid_clust2	organism_ID2	MashDistance	Multi_plasmid_isolate
CP019224.1	84	1	CP003081.1	U	161	1	Yes
CP029334.1	19	2	CP003081.1	U	161	1	Yes
CP084591.1	92	3	CP003081.1	U	161	0.35328	Yes
CP079866.1	167	U	CP003081.1	U	161	1	Yes
LT703509.1	93	4	CP003081.1	U	161	1	Yes
CP065270.1	225	5	CP003081.1	U	161	1	Yes
CP079874.1	166	U	CP003081.1	U	161	1	Yes
CP084597.1	91	6	CP003081.1	U	161	1	Yes
CP022224.1	88	7	CP003081.1	U	161	1	Yes
CP016643.1	157	8	CP003081.1	U	161	1	Yes
CP040252.1	23	2	CP003081.1	U	161	1	Yes
CP122996.1	274	U	CP003081.1	U	161	0.372583	Yes
CP065048.1	103	9	CP003081.1	U	161	1	Yes
AP025526.1	154	U	CP003081.1	U	161	1	Yes
CP085946.1	58	9	CP003081.1	U	161	1	No
CP079872.1	166	U	CP003081.1	U	161	1	Yes
AP022566.1	271	U	CP003081.1	U	161	1	No
CP079867.1	167	10	CP003081.1	U	161	1	Yes
CP079871.1	166	U	CP003081.1	U	161	1	Yes
CP065277.1	228	11	CP003081.1	U	161	1	No
CP063323.1	216	8	CP003081.1	U	161	1	Yes
CP076858.1	18	12	CP003081.1	U	161	1	Yes
CP103314.1	286	U	CP003081.1	U	161	1	Yes
AP020329.1	24	6	CP003081.1	U	161	1	Yes
CP015597.1	171	U	CP003081.1	U	161	0.223483	No
CP079879.1	166	U	CP003081.1	U	161	1	Yes
CP084595.1	91	13	CP003081.1	U	161	1	Yes
CP080335.1	317	U	CP003081.1	U	161	1	Yes
CP065282.1	231	14	CP003081.1	U	161	1	Yes
AP023336.1	348	15	CP003081.1	U	161	1	Yes
CP012887.2	83	U	CP003081.1	U	161	1	Yes
CP122998.1	274	U	CP003081.1	U	161	1	Yes
AP023363.1	349	16	CP003081.1	U	161	0.405585	Yes
CP003054.1	284	U	CP003081.1	U	161	1	Yes
JQ657806.1	98	U	CP003081.1	U	161	0.372583	Yes
CP020812.1	49	U	CP003081.1	U	161	1	Yes
CP029333.1	19	1	CP003081.1	U	161	1	Yes
CP040253.1	23	17	CP003081.1	U	161	1	Yes
AP022580.1	277	U	CP003081.1	U	161	1	No
AP023365.1	349	15	CP003081.1	U	161	1	Yes
AP024252.1	131	18	CP003081.1	U	161	1	No
AP024267.1	61	9	CP003081.1	U	161	1	No
CP015271.1	85	6	CP003081.1	U	161	1	Yes
CP034180.1	182	19	CP003081.1	U	161	1	No
CP085920.1	236	19	CP003081.1	U	161	1	No
AP022607.1	44	U	CP003081.1	U	161	1	No
CP079878.1	166	U	CP003081.1	U	161	1	Yes
CP084593.1	91	1	CP003081.1	U	161	1	Yes
CP015270.1	85	7	CP003081.1	U	161	1	Yes
AP018497.1	118	20	CP003081.1	U	161	1	No
AP022622.1	206	21	CP003081.1	U	161	1	Yes
CP015273.1	86	1	CP003081.1	U	161	1	Yes
CP065285.1	234	U	CP003081.1	U	161	1	Yes
CP084587.1	92	22	CP003081.1	U	161	0.405585	Yes
LT703506.1	93	22	CP003081.1	U	161	0.405585	Yes
CP063329.1	220	U	CP003081.1	U	161	1	No
CP015276.1	86	23	CP003081.1	U	161	1	Yes
CP089217.1	99	24	CP003081.1	U	161	1	No
CP076859.1	17	25	CP003081.1	U	161	1	Yes
CP020811.1	49	U	CP003081.1	U	161	1	Yes
CP022225.1	88	6	CP003081.1	U	161	1	Yes
CP079875.1	166	U	CP003081.1	U	161	1	Yes
CP003079.1	161	U	CP003081.1	U	161	1	Yes
AP024261.1	67	9	CP003081.1	U	161	1	No
CP032156.1	158	U	CP003081.1	U	161	1	No
CP059001.1	16	18	CP003081.1	U	161	1	Yes
CP079864.1	165	U	CP003081.1	U	161	1	No
CP009406.2	13	26	CP003081.1	U	161	0.35328	Yes
CP036221.2	20	2	CP003081.1	U	161	1	Yes
CP015268.1	85	27	CP003081.1	U	161	1	Yes
AP022585.1	125	U	CP003081.1	U	161	1	No
CP076857.1	18	25	CP003081.1	U	161	1	Yes
EU271968.1	112	28	CP003081.1	U	161	1	No
AP020328.1	24	7	CP003081.1	U	161	1	Yes
CP023153.1	89	1	CP003081.1	U	161	1	Yes
CP045967.1	90	23	CP003081.1	U	161	1	Yes
HG917973.1	122	20	CP003081.1	U	161	1	No
CP065271.1	225	14	CP003081.1	U	161	1	Yes
AP025528.1	154	29	CP003081.1	U	161	0.405585	Yes
CP084590.1	92	23	CP003081.1	U	161	1	Yes
AP022611.1	307	U	CP003081.1	U	161	1	No
CP092363.2	286	U	CP003081.1	U	161	1	Yes
CP012886.2	83	U	CP003081.1	U	161	1	Yes
CP103313.1	326	U	CP003081.1	U	161	1	Yes
LT703507.1	93	1	CP003081.1	U	161	1	Yes
CP118918.1	254	U	CP003081.1	U	161	1	No
AP026368.1	143	28	CP003081.1	U	161	1	No
CP079876.1	166	U	CP003081.1	U	161	1	Yes
CP065049.1	103	U	CP003081.1	U	161	1	Yes
CP040251.1	23	2	CP003081.1	U	161	1	Yes
CP009405.2	13	U	CP003081.1	U	161	1	Yes
BX649209.1	178	28	CP003081.1	U	161	1	No
CP081676.1	291	U	CP003081.1	U	161	1	Yes
CP015279.1	87	27	CP003081.1	U	161	1	Yes
CP040245.1	22	17	CP003081.1	U	161	1	Yes
AP023364.1	349	30	CP003081.1	U	161	1	Yes
CP045968.1	90	6	CP003081.1	U	161	1	Yes
CP059000.1	16	25	CP003081.1	U	161	1	Yes
AP025525.1	154	1	CP003081.1	U	161	1	Yes
AP023335.1	348	30	CP003081.1	U	161	1	Yes
AP024256.1	63	U	CP003081.1	U	161	1	No
CP081675.1	291	U	CP003081.1	U	161	1	Yes
AP022623.1	206	31	CP003081.1	U	161	1	Yes
CP084594.1	91	4	CP003081.1	U	161	1	Yes
CP076860.1	17	U	CP003081.1	U	161	0.405585	Yes
CP092428.2	326	U	CP003081.1	U	161	1	Yes
CP084588.1	92	1	CP003081.1	U	161	1	Yes
CP122999.1	274	U	CP003081.1	U	161	1	Yes
CP122995.1	274	U	CP003081.1	U	161	1	Yes
CP023148.1	124	U	CP003081.1	U	161	1	No
CP015277.1	86	6	CP003081.1	U	161	1	Yes
CP122997.1	274	U	CP003081.1	U	161	1	Yes
AP022592.1	273	U	CP003081.1	U	161	1	No
CP092982.1	121	20	CP003081.1	U	161	1	No
CP025550.1	130	29	CP003081.1	U	161	0.405585	Yes
CP016642.1	157	U	CP003081.1	U	161	1	Yes
CP065281.1	231	5	CP003081.1	U	161	1	Yes
AP020327.1	24	U	CP003081.1	U	161	1	Yes
CP045966.1	90	13	CP003081.1	U	161	1	Yes
CP040248.1	21	18	CP003081.1	U	161	1	Yes
CP002386.1	298	U	CP003081.1	U	161	1	Yes
CP092425.2	105	23	CP003081.1	U	161	1	Yes
CP003080.1	161	U	CP003081.1	U	161	0.339586	Yes
CP023152.1	89	25	CP003081.1	U	161	1	Yes
CP084589.1	92	6	CP003081.1	U	161	1	Yes
CP063325.1	218	U	CP003081.1	U	161	1	Yes
CP045327.1	168	U	CP003081.1	U	161	1	Yes
CP016641.1	157	U	CP003081.1	U	161	1	Yes
CP040254.1	23	18	CP003081.1	U	161	1	Yes
