Replicon_Type	GenBank_Accession	Size	Plasmid_cluster	organism_ID	multi_plasmid_isolate
Plasmid	CP097321.1	282730	U	4	No
Plasmid	CP009405.2	78493	U	13	Yes
Plasmid	CP009406.2	18892	26	13	Yes
Plasmid	CP059000.1	150076	25	16	Yes
Plasmid	CP059001.1	24802	18	16	Yes
Plasmid	CP059002.1	15934	12	16	Yes
Plasmid	CP076860.1	343811	U	17	Yes
Plasmid	CP076859.1	195724	25	17	Yes
Plasmid	CP076861.1	12992	6	17	Yes
Plasmid	CP076857.1	396301	25	18	Yes
Plasmid	CP076858.1	15936	12	18	Yes
Plasmid	CP029333.1	147100	1	19	Yes
Plasmid	CP029334.1	16516	2	19	Yes
Plasmid	CP036221.2	22273	2	20	Yes
Plasmid	CP036222.2	18294	26	20	Yes
Plasmid	CP040249.1	41509	17	21	Yes
Plasmid	CP040248.1	24608	18	21	Yes
Plasmid	CP040245.1	41578	17	22	Yes
Plasmid	CP040246.1	24701	18	22	Yes
Plasmid	CP040253.1	40211	17	23	Yes
Plasmid	CP040252.1	35282	2	23	Yes
Plasmid	CP040251.1	35197	2	23	Yes
Plasmid	CP040254.1	28349	18	23	Yes
Plasmid	AP020327.1	191151	U	24	Yes
Plasmid	AP020328.1	39206	7	24	Yes
Plasmid	AP020329.1	13441	6	24	Yes
Plasmid	AP012556.1	194711	25	25	No
Plasmid	AP022607.1	864257	U	44	No
Plasmid	CP020810.1	155598	U	49	Yes
Plasmid	CP020811.1	152685	U	49	Yes
Plasmid	CP020812.1	106337	U	49	Yes
Plasmid	CP020813.1	69875	U	49	Yes
Plasmid	AP022602.1	211674	U	51	No
Plasmid	CP070974.1	216348	U	52	No
Plasmid	CP043475.1	43679	U	53	No
Plasmid	CP085946.1	24567	9	58	No
Plasmid	CP023150.1	24702	18	59	No
Plasmid	AP024267.1	26019	9	61	No
Plasmid	AP024256.1	51089	U	63	No
Plasmid	AP024242.1	24567	9	64	No
Plasmid	AP024249.1	24567	9	65	No
Plasmid	AP024246.1	24567	9	66	No
Plasmid	AP024261.1	24567	9	67	No
Plasmid	AP024263.1	24567	9	68	No
Plasmid	CP012886.2	437571	U	83	Yes
Plasmid	CP012887.2	25131	U	83	Yes
Plasmid	CP012888.2	14512	6	83	Yes
Plasmid	CP019224.1	97268	1	84	Yes
Plasmid	CP019223.1	39887	4	84	Yes
Plasmid	CP019222.1	32137	13	84	Yes
Plasmid	CP015268.1	175972	27	85	Yes
Plasmid	CP015269.1	154060	U	85	Yes
Plasmid	CP015270.1	38049	7	85	Yes
Plasmid	CP015271.1	15059	6	85	Yes
Plasmid	CP015273.1	97267	1	86	Yes
Plasmid	CP015274.1	39889	4	86	Yes
Plasmid	CP015275.1	32134	13	86	Yes
Plasmid	CP015276.1	21123	23	86	Yes
Plasmid	CP015277.1	13458	6	86	Yes
Plasmid	CP015279.1	157126	27	87	Yes
Plasmid	CP015280.1	110830	1	87	Yes
Plasmid	CP022224.1	33560	7	88	Yes
Plasmid	CP022225.1	13458	6	88	Yes
Plasmid	CP023152.1	247522	25	89	Yes
Plasmid	CP023153.1	95687	1	89	Yes
Plasmid	CP045964.1	97268	1	90	Yes
Plasmid	CP045965.1	39887	4	90	Yes
Plasmid	CP045966.1	32137	13	90	Yes
Plasmid	CP045967.1	21123	23	90	Yes
Plasmid	CP045968.1	13458	6	90	Yes
Plasmid	CP084593.1	97267	1	91	Yes
Plasmid	CP084594.1	39887	4	91	Yes
Plasmid	CP084595.1	32137	13	91	Yes
Plasmid	CP084596.1	21123	23	91	Yes
Plasmid	CP084597.1	13457	6	91	Yes
Plasmid	CP084587.1	322178	22	92	Yes
Plasmid	CP084588.1	95688	1	92	Yes
Plasmid	CP084589.1	26921	6	92	Yes
Plasmid	CP084590.1	21123	23	92	Yes
Plasmid	CP084591.1	15917	3	92	Yes
Plasmid	LT703506.1	324321	22	93	Yes
Plasmid	LT703507.1	97266	1	93	Yes
Plasmid	LT703509.1	39887	4	93	Yes
Plasmid	LT703510.1	32127	13	93	Yes
Plasmid	LT703508.1	21123	23	93	Yes
Plasmid	JQ657805.1	122976	1	98	Yes
Plasmid	JQ657806.1	18089	U	98	Yes
Plasmid	CP089217.1	18376	24	99	No
Plasmid	CP089219.1	18376	24	100	No
Plasmid	CP006836.1	144951	1	101	No
Plasmid	CP065048.1	30582	9	103	Yes
Plasmid	CP065049.1	28122	U	103	Yes
Plasmid	CP092424.2	224738	U	105	Yes
Plasmid	CP092425.2	21117	23	105	Yes
Plasmid	CP092426.2	15922	3	105	Yes
Plasmid	EU271968.1	190588	28	112	No
Plasmid	AP018497.1	127402	20	118	No
Plasmid	CP092982.1	115362	20	121	No
Plasmid	HG917973.1	114229	20	122	No
Plasmid	CP000895.1	23317	19	123	No
Plasmid	CP023148.1	19605	U	124	No
Plasmid	AP022585.1	17972	U	125	No
Plasmid	CP025547.1	305730	U	130	Yes
Plasmid	CP025548.1	144093	U	130	Yes
Plasmid	CP025549.1	26922	U	130	Yes
Plasmid	CP025550.1	17187	29	130	Yes
Plasmid	AP024252.1	24702	18	131	No
Plasmid	AP026368.1	117040	28	143	No
Plasmid	AP025525.1	380354	1	154	Yes
Plasmid	AP025526.1	39499	U	154	Yes
Plasmid	AP025527.1	22887	U	154	Yes
Plasmid	AP025528.1	21472	29	154	Yes
Plasmid	CP113530.1	113269	U	156	No
Plasmid	CP016641.1	134689	U	157	Yes
Plasmid	CP016643.1	26982	8	157	Yes
Plasmid	CP016642.1	21705	U	157	Yes
Plasmid	CP032156.1	221756	U	158	No
Plasmid	CP081005.1	191242	U	160	No
Plasmid	CP003079.1	394147	U	161	Yes
Plasmid	CP003080.1	198589	U	161	Yes
Plasmid	CP003081.1	164114	U	161	Yes
