Plasmid_1	organism_ID1	plasmid_clust1	Plasmid_2	plasmid_clust2	organism_ID2	ANI	aligned_fragments	fragments	Alignment_fraction	Alignment_fraction_perc	Same_cluster_1	Self_comparison	Multi_plasmid_isolate
AP012556.1	25	25	AP012556.1	25	25	100	384	389	0.98714653	98.714653	25	Same_Contig	No
AP012556.1	25	25	CP076859.1	25	17	99.9783	380	389	0.976863753	97.6863753	25	Different_Contig	No
AP012556.1	25	25	CP076857.1	25	18	99.9751	383	389	0.984575835	98.4575835	25	Different_Contig	No
AP012556.1	25	25	CP059000.1	25	16	99.8202	290	389	0.745501285	74.5501285	25	Different_Contig	No
AP012556.1	25	25	CP023152.1	25	89	97.3605	221	389	0.568123393	56.8123393	25	Different_Contig	No
AP012556.1	25	25	CP015279.1	27	87	84.0352	127	389	0.326478149	32.6478149	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP015268.1	27	85	83.842	127	389	0.326478149	32.6478149	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP092982.1	20	121	83.2646	105	389	0.269922879	26.9922879	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	HG917973.1	20	122	83.2077	103	389	0.264781491	26.4781491	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	AP018497.1	20	118	82.8317	106	389	0.272493573	27.2493573	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP045964.1	1	90	81.6133	105	389	0.269922879	26.9922879	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	JQ657805.1	1	98	81.5978	102	389	0.262210797	26.2210797	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP023153.1	1	89	81.4524	106	389	0.272493573	27.2493573	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP019224.1	1	84	81.4153	108	389	0.277634961	27.7634961	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP084593.1	1	91	81.3899	108	389	0.277634961	27.7634961	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP084588.1	1	92	81.3706	105	389	0.269922879	26.9922879	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP015273.1	1	86	81.3087	109	389	0.280205656	28.0205656	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	LT703507.1	1	93	81.2856	111	389	0.285347044	28.5347044	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP015280.1	1	87	81.254	117	389	0.300771208	30.0771208	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP029333.1	1	19	81.0461	114	389	0.293059126	29.3059126	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP006836.1	1	101	80.8536	118	389	0.303341902	30.3341902	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	AP025525.1	1	154	80.4479	163	389	0.419023136	41.9023136	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP092425.2	23	105	80.0049	10	389	0.025706941	2.5706941	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP015276.1	23	86	79.9575	10	389	0.025706941	2.5706941	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	LT703508.1	23	93	79.9575	10	389	0.025706941	2.5706941	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP084590.1	23	92	79.0496	9	389	0.023136247	2.3136247	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP040254.1	18	23	78.8069	12	389	0.030848329	3.0848329	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP023150.1	18	59	78.1357	11	389	0.028277635	2.8277635	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP059001.1	18	16	77.7305	12	389	0.030848329	3.0848329	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	AP024252.1	18	131	77.5752	12	389	0.030848329	3.0848329	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP025547.1	U	130	77.5587	129	389	0.331619537	33.1619537	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP040246.1	18	22	77.3043	13	389	0.033419023	3.3419023	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP040248.1	18	21	77.3043	13	389	0.033419023	3.3419023	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP019223.1	4	84	75.5168	16	389	0.041131105	4.1131105	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP015274.1	4	86	75.5168	16	389	0.041131105	4.1131105	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP045965.1	4	90	75.5028	16	389	0.041131105	4.1131105	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP003054.1	U	284	75.3966	108	389	0.277634961	27.7634961	Not_Same_Cluster	Different_Contig	No
