t	Gene	Identity	Type	Class	Cluster (mash)	Plasmid	Gene				Class		Class	
U-BRA100	sul1	100	AMR	Sul	U	BRA100	A-sul1				SUL		SUL	Sul
U-BRA100	qacEdelta1	100	STRESS	QAC	U	BRA101	S-qacEdelta1				Quat. amm.		Quat. amm.	QAC
U-BRA100	aac(6')-Ib'	100	AMR	Amg	U	BRA102	A-aac(6')-Ib'				AMINOGLYCOSIDE		AMINOGLYCOSIDE	Amg
U-BRA100	fosI	100	AMR	Fos	U	BRA103	A-fosI				FOSFOMYCIN		FOSFOMYCIN	Fos
U-BRA100	aph(3'')-Ib	100	AMR	Amg	U	BRA104	A-aph(3'')-Ib				AMINOGLYCOSIDE		MERCURY	Hg
U-BRA100	aph(6)-Id	100	AMR	Amg	U	BRA105	A-aph(6)-Id				AMINOGLYCOSIDE		VIRULENCE	
U-BRA100	merE	100	STRESS	Hg	U	BRA106	S-merE				MERCURY		GLYCOPEPTIDE	Gly
U-BRA100	merD	100	STRESS	Hg	U	BRA107	S-merD				MERCURY		TELLURIUM	Te
U-BRA100	merA	98.57	STRESS	Hg	U	BRA108	S-merA				MERCURY		CADMIUM	Cd
U-BRA100	merP	100	STRESS	Hg	U	BRA109	S-merP				MERCURY		COPPER/GOLD	Cu/Au
U-BRA100	merT	93.97	STRESS	Hg	U	BRA110	S-merT				MERCURY		HEAT	Heat
U-BRA100	merR	100	STRESS	Hg	U	BRA111	S-merR				MERCURY		EFFLUX	Efflux
U-CP122999.1	yfeB	31.14	V	V	U	CP122999.1	V-yfeB				VIRULENCE		QAC	QAC
U-CP122999.1	vanH-B	30.85	AMR	Gly	U	CP122999.1	A-vanH-B				GLYCOPEPTIDE		MACROLIDE	MAC
U-CP122998.1	terC	34.35	STRESS	Te	U	CP122998.1	S-terC				TELLURIUM		METAL	Metal
U-CP122997.1	cadR	34.75	STRESS	Cd	U	CP122997.1	S-cadR				CADMIUM		ARSENIC	As
U-CP122996.1	golT	33.39	STRESS	Cu/Au	U	CP122996.1	S-golT				COPPER/GOLD		COPPER	Cu
U-CP122996.1	yfeB	31.14	V	V	U	CP122996.1	V-yfeB				VIRULENCE		COPPER/SILVER	Cu/Ag
U-CP122996.1	vanS-Sc	35.17	AMR	Gly	U	CP122996.1	A-vanS-Sc				GLYCOPEPTIDE		NICKEL	Ni
U-CP122996.1	cadR	34.75	STRESS	Cd	U	CP122996.1	S-cadR				CADMIUM		RIFAMYCIN	Rif
U-CP122996.1	merR1	35	STRESS	Hg	U	CP122996.1	S-merR1				MERCURY		TETRACENOMYCIN	Tmy
U-CP122996.1	merB	41.51	STRESS	Hg	U	CP122996.1	S-merB				MERCURY		QUINOLONE	Ql
U-CP122995.1	trxLHR	38.46	STRESS	Heat	U	CP122995.1	S-trxLHR				HEAT		METALS	Metal
U-CP122995.1	srpS	31.05	STRESS	Efflux	U	CP122995.1	S-srpS				EFFLUX		SILVER	Ag
U-CP118918.1	qacF	40.4	STRESS	QAC	U	CP118918.1	S-qacF				QAC		LINCOSAMIDE	Li
U-CP118918.1	erm(55)	100	AMR	MAC	U	CP118918.1	A-erm(55)				MACROLIDE		TRIMETHOPRIM	Tmp
U-CP092428.2	mreA	39.44	STRESS	Metal	U	CP092428.2	S-mreA				METAL		PHENICOL	Phe
U-CP092428.2	arsR	41.46	STRESS	As	U	CP092428.2	S-arsR				ARSENIC		TETRACYCLINE	Tet
U-CP092428.2	cadA	38.78	STRESS	Cd	U	CP092428.2	S-cadA				CADMIUM		SULFONAMIDE	Sul
